ElementsType, Refinement, ExactFunction, Order, PhysicalNames, MeshEntities, EntitiesPhysicalTags, MeshNodes, MeshElements, Coefficients, L2NormU, L2NormGradU, H1NormU
Quad, 1, x, 1, 2, 10, 5, 36, 45, 36, 1.87777e-12, 2.85899e-12, 3.42051e-12,
Quad, 1, x, 2, 2, 10, 5, 36, 45, 121, 1.83976e-12, 3.18354e-12, 3.6769e-12,
Tria, 1, x, 1, 2, 10, 5, 35, 68, 35, 1.86893e-12, 2.67225e-12, 3.26095e-12,
Tria, 1, x, 2, 2, 10, 5, 35, 68, 169, 1.83854e-12, 2.96787e-12, 3.4912e-12,
Quad, 1, xy, 1, 2, 10, 5, 36, 45, 36, 0.185437, 1.11897, 1.13424,
Quad, 1, xy, 2, 2, 10, 5, 36, 45, 121, 8.45026e-12, 1.48752e-11, 1.71079e-11,
Tria, 1, xy, 1, 2, 10, 5, 35, 68, 35, 0.27912, 1.57643, 1.60095,
Tria, 1, xy, 2, 2, 10, 5, 35, 68, 169, 8.41799e-12, 1.38378e-11, 1.61971e-11,
Quad, 1, x2, 1, 2, 10, 5, 36, 45, 36, 0.444145, 1.94938, 1.99934,
Quad, 1, x2, 2, 2, 10, 5, 36, 45, 121, 1.2299e-11, 1.73228e-11, 2.12448e-11,
Tria, 1, x2, 1, 2, 10, 5, 35, 68, 35, 0.314523, 1.89217, 1.91813,
Tria, 1, x2, 2, 2, 10, 5, 35, 68, 169, 1.2458e-11, 1.62327e-11, 2.04622e-11,
Quad, 1, x2y2, 1, 2, 10, 5, 36, 45, 36, 9.7772, 37.1194, 38.3855,
Quad, 1, x2y2, 2, 2, 10, 5, 36, 45, 121, 0.351711, 2.32751, 2.35393,
Tria, 1, x2y2, 1, 2, 10, 5, 35, 68, 35, 9.01153, 43.5304, 44.4534,
Tria, 1, x2y2, 2, 2, 10, 5, 35, 68, 169, 0.221707, 2.48893, 2.49879,
Quad, 1, Ex03, 1, 2, 10, 5, 36, 45, 36, 12.9089, 28.4042, 31.2,
Quad, 2, Ex03, 1, 2, 10, 5, 121, 140, 121, 1.79646, 17.6781, 17.7691,
Quad, 3, Ex03, 1, 2, 10, 5, 441, 480, 441, 0.897061, 11.2323, 11.2681,
Quad, 4, Ex03, 1, 2, 10, 5, 1681, 1760, 1681, 0.240802, 5.91434, 5.91924,
Quad, 5, Ex03, 1, 2, 10, 5, 6561, 6720, 6561, 0.0606747, 2.99485, 2.99547,
Quad, 1, Ex03, 2, 2, 10, 5, 36, 45, 121, 14.6536, 31.9802, 35.1776,
Quad, 2, Ex03, 2, 2, 10, 5, 121, 140, 441, 0.919896, 11.2047, 11.2424,
Quad, 3, Ex03, 2, 2, 10, 5, 441, 480, 1681, 0.132532, 3.81377, 3.81607,
Quad, 4, Ex03, 2, 2, 10, 5, 1681, 1760, 6561, 0.0209526, 1.03211, 1.03232,
Quad, 5, Ex03, 2, 2, 10, 5, 6561, 6720, 25921, 0.00279269, 0.262857, 0.262872,
Tria, 1, Ex03, 1, 2, 10, 5, 35, 68, 35, 2.56111, 20.7551, 20.9125,
Tria, 2, Ex03, 1, 2, 10, 5, 119, 236, 119, 1.83378, 17.8053, 17.8994,
Tria, 3, Ex03, 1, 2, 10, 5, 437, 872, 437, 0.684148, 10.8768, 10.8983,
Tria, 4, Ex03, 1, 2, 10, 5, 1673, 3344, 1673, 0.191129, 5.73579, 5.73898,
Tria, 5, Ex03, 1, 2, 10, 5, 6545, 13088, 6545, 0.0492789, 2.90815, 2.90857,
Tria, 1, Ex03, 2, 2, 10, 5, 35, 68, 169, 2.25735, 18.6454, 18.7816,
Tria, 2, Ex03, 2, 2, 10, 5, 119, 236, 637, 0.378732, 7.85159, 7.86072,
Tria, 3, Ex03, 2, 2, 10, 5, 437, 872, 2473, 0.057411, 2.41955, 2.42023,
Tria, 4, Ex03, 2, 2, 10, 5, 1673, 3344, 9745, 0.0086412, 0.672667, 0.672722,
Tria, 5, Ex03, 2, 2, 10, 5, 6545, 13088, 38689, 0.00117738, 0.1754, 0.175404,
